pair_id,experiment_id,evidence_spearman,evidence_pearson,rank_overlap_topk,weighted_jaccard_abs,n_matched
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_058_AIBL_BASELINE_FS8_THICKNESS_KONG200_17_TO_AIBL_BASELINE_FS8_THICKNESS_YALE696_AGE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.3142857142857143,0.1458340168462631,1.0,,6
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_059_OASIS1_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_OASIS1_BASELINE_FS8_THICKNESS_KONG200_17_CDR,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.942857142857143,0.9707362767530768,1.0,,6
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_060_OASIS1_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_OASIS1_BASELINE_FS8_THICKNESS_KONG200_17_MMSE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.942857142857143,0.9233596681599309,1.0,,6
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_061_OASIS1_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_OASIS1_BASELINE_FS8_THICKNESS_KONG200_17_AGE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.942857142857143,0.864797159338762,1.0,,6
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_062_OASIS1_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_OASIS1_BASELINE_FS8_THICKNESS_YALE696_CDR,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.19999999999999998,0.19373545964743508,1.0,,5
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_063_OASIS1_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_OASIS1_BASELINE_FS8_THICKNESS_YALE696_MMSE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.49999999999999994,0.2463077177807226,1.0,,5
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_064_OASIS1_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_OASIS1_BASELINE_FS8_THICKNESS_YALE696_AGE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.19999999999999998,0.07113375866019885,1.0,,5
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_065_OASIS1_BASELINE_FS8_THICKNESS_KONG200_17_TO_OASIS1_BASELINE_FS8_THICKNESS_YALE696_CDR,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.3714285714285715,0.4580657008551699,1.0,,6
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_066_OASIS1_BASELINE_FS8_THICKNESS_KONG200_17_TO_OASIS1_BASELINE_FS8_THICKNESS_YALE696_MMSE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.6,0.5747770881333821,1.0,,6
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_067_OASIS1_BASELINE_FS8_THICKNESS_KONG200_17_TO_OASIS1_BASELINE_FS8_THICKNESS_YALE696_AGE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.3714285714285715,-0.11450660480019624,1.0,,6
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_068_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_DX_CN_AD,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,0.3,0.6790837377798502,1.0,,5
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_069_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_DX_CN_MCI,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,0.3,0.6038257949666519,1.0,,5
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_070_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_MMSE,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,0.3,0.5482579792047401,1.0,,5
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_071_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_AGE,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,0.3,0.5632116304845451,1.0,,5
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_072_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_DX_CN_AD,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,,,,,0
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_073_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_DX_CN_MCI,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,,,,,0
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_074_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_MMSE,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,,,,,0
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_075_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_AGE,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,,,,,0
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_076_AIBL_BASELINE_FS8_CORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_DX_CN_AD,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,0.7,0.7135618350899432,1.0,,5
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_077_AIBL_BASELINE_FS8_CORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_DX_CN_MCI,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,0.7999999999999999,0.8587358148486532,1.0,,5
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_078_AIBL_BASELINE_FS8_CORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_MMSE,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,0.7,0.6814164957481499,1.0,,5
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_079_AIBL_BASELINE_FS8_CORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_AGE,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,0.8999999999999998,0.897630064914123,1.0,,5
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_080_AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_DX_CN_AD,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,,,,,0
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_081_AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_DX_CN_MCI,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,,,,,0
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_082_AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_MMSE,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,,,,,0
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_083_AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_AGE,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,,,,,0
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_084_OASIS1_BASELINE_FS8_CORTICAL_VOLUME_TO_OASIS1_BASELINE_FS8_THICKNESS_SCHAEFER200_7_CDR,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,0.49999999999999994,0.4649102607569128,1.0,,5
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_085_OASIS1_BASELINE_FS8_CORTICAL_VOLUME_TO_OASIS1_BASELINE_FS8_THICKNESS_SCHAEFER200_7_MMSE,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,0.7,0.5862884542447677,1.0,,5
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_086_OASIS1_BASELINE_FS8_CORTICAL_VOLUME_TO_OASIS1_BASELINE_FS8_THICKNESS_SCHAEFER200_7_AGE,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,0.09999999999999999,0.12349783546004345,1.0,,5
