roi,coef,t,mean_z,n,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like,target_group
Left-Caudate,0.06384127741614845,0.06384127741614845,0.06384127741614845,265,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,,AD
Left-Putamen,-0.2186849800662523,-0.2186849800662523,-0.2186849800662523,265,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,,AD
Left-Pallidum,-0.11221398459822104,-0.11221398459822104,-0.11221398459822104,265,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,,AD
3rd-Ventricle,0.638438409610272,0.638438409610272,0.638438409610272,265,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,,AD
4th-Ventricle,0.05282566895404192,0.05282566895404192,0.05282566895404192,265,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,,AD
Brain-Stem,-0.1280867929556374,-0.1280867929556374,-0.1280867929556374,265,,brainstem,brainstem,,,fs8_subcortical_volume,,AD
Left-Hippocampus,-1.1046744347260842,-1.1046744347260842,-1.1046744347260842,265,LH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,,AD
Left-Amygdala,-0.9616898526425569,-0.9616898526425569,-0.9616898526425569,265,LH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,,AD
CSF,0.3099150325231273,0.3099150325231273,0.3099150325231273,265,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,,AD
Left-Accumbens-area,-0.5346025324196456,-0.5346025324196456,-0.5346025324196456,265,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,,AD
Left-VentralDC,-0.21774402430482892,-0.21774402430482892,-0.21774402430482892,265,LH,ventral_diencephalon,ventral_diencephalon,,,fs8_subcortical_volume,,AD
Left-vessel,0.02636012765226839,0.02636012765226839,0.02636012765226839,265,LH,vessel,vessel,,,fs8_subcortical_volume,,AD
Left-choroid-plexus,0.02636012765226839,0.02636012765226839,0.02636012765226839,265,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,,AD
Right-Lateral-Ventricle,0.771865423660972,0.771865423660972,0.771865423660972,265,RH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,,AD
Right-Inf-Lat-Vent,1.6607454287330439,1.6607454287330439,1.6607454287330439,265,RH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,,AD
Right-Cerebellum-White-Matter,-0.08589773239504483,-0.08589773239504483,-0.08589773239504483,265,RH,cerebellum,cerebellum,,,fs8_subcortical_volume,,AD
Right-Cerebellum-Cortex,-0.1450047305349311,-0.1450047305349311,-0.1450047305349311,265,RH,cerebellum,cerebellum,,,fs8_subcortical_volume,,AD
Right-Thalamus,-0.2221105324217144,-0.2221105324217144,-0.2221105324217144,265,RH,thalamus,thalamus,,,fs8_subcortical_volume,,AD
Right-Caudate,0.019861903757448698,0.019861903757448698,0.019861903757448698,265,RH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,,AD
Right-Putamen,-0.20923007372794308,-0.20923007372794308,-0.20923007372794308,265,RH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,,AD
Right-Pallidum,-0.11381071964931767,-0.11381071964931767,-0.11381071964931767,265,RH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,,AD
Right-Hippocampus,-1.098158455590338,-1.098158455590338,-1.098158455590338,265,RH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,,AD
Right-Amygdala,-1.0039826998250156,-1.0039826998250156,-1.0039826998250156,265,RH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,,AD
Right-Accumbens-area,-0.5694895400744656,-0.5694895400744656,-0.5694895400744656,265,RH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,,AD
Right-VentralDC,-0.21622433100167507,-0.21622433100167507,-0.21622433100167507,265,RH,ventral_diencephalon,ventral_diencephalon,,,fs8_subcortical_volume,,AD
Right-vessel,0.02636012765226839,0.02636012765226839,0.02636012765226839,265,RH,vessel,vessel,,,fs8_subcortical_volume,,AD
Right-choroid-plexus,0.02636012765226839,0.02636012765226839,0.02636012765226839,265,RH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,,AD
5th-Ventricle,0.02636012765226839,0.02636012765226839,0.02636012765226839,265,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,,AD
WM-hypointensities,0.1840946070450312,0.1840946070450312,0.1840946070450312,265,,hypointensity,hypointensity,,,fs8_subcortical_volume,,AD
Left-WM-hypointensities,0.02636012765226839,0.02636012765226839,0.02636012765226839,265,LH,hypointensity,hypointensity,,,fs8_subcortical_volume,,AD
Right-WM-hypointensities,0.02636012765226839,0.02636012765226839,0.02636012765226839,265,RH,hypointensity,hypointensity,,,fs8_subcortical_volume,,AD
non-WM-hypointensities,0.02636012765226839,0.02636012765226839,0.02636012765226839,265,,hypointensity,hypointensity,,,fs8_subcortical_volume,,AD
Left-non-WM-hypointensities,0.02636012765226839,0.02636012765226839,0.02636012765226839,265,LH,hypointensity,hypointensity,,,fs8_subcortical_volume,,AD
Right-non-WM-hypointensities,0.02636012765226839,0.02636012765226839,0.02636012765226839,265,RH,hypointensity,hypointensity,,,fs8_subcortical_volume,,AD
Optic-Chiasm,0.02636012765226839,0.02636012765226839,0.02636012765226839,265,,optic_chiasm,optic_chiasm,,,fs8_subcortical_volume,,AD
CC_Posterior,-0.3295841777877978,-0.3295841777877978,-0.3295841777877978,265,,corpus_callosum,corpus_callosum,,,fs8_subcortical_volume,,AD
CC_Mid_Posterior,-0.42271450891719214,-0.42271450891719214,-0.42271450891719214,265,,corpus_callosum,corpus_callosum,,,fs8_subcortical_volume,,AD
CC_Central,-0.5158691754642233,-0.5158691754642233,-0.5158691754642233,265,,corpus_callosum,corpus_callosum,,,fs8_subcortical_volume,,AD
CC_Mid_Anterior,-0.33977997972393253,-0.33977997972393253,-0.33977997972393253,265,,corpus_callosum,corpus_callosum,,,fs8_subcortical_volume,,AD
CC_Anterior,-0.26104201628211887,-0.26104201628211887,-0.26104201628211887,265,,corpus_callosum,corpus_callosum,,,fs8_subcortical_volume,,AD
BrainSegVol,-0.04278890894275393,-0.04278890894275393,-0.04278890894275393,265,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,AD
lhCortexVol,-0.4817667196838779,-0.4817667196838779,-0.4817667196838779,265,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,AD
rhCortexVol,-0.4549899617603548,-0.4549899617603548,-0.4549899617603548,265,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,AD
CortexVol,-0.46879601736164633,-0.46879601736164633,-0.46879601736164633,265,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,AD
lhCerebralWhiteMatterVol,-0.059119733401045156,-0.059119733401045156,-0.059119733401045156,265,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,AD
rhCerebralWhiteMatterVol,-0.06417147346752078,-0.06417147346752078,-0.06417147346752078,265,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,AD
CerebralWhiteMatterVol,-0.06170013566875224,-0.06170013566875224,-0.06170013566875224,265,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,AD
SubCortGrayVol,-0.3885115657902068,-0.3885115657902068,-0.3885115657902068,265,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,AD
TotalGrayVol,-0.40884487930611346,-0.40884487930611346,-0.40884487930611346,265,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,AD
SupraTentorialVol,-0.033565919083046715,-0.033565919083046715,-0.033565919083046715,265,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,AD
SupraTentorialVolNotVent,-0.28734740491063254,-0.28734740491063254,-0.28734740491063254,265,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,AD
MaskVol,-0.05108730275051453,-0.05108730275051453,-0.05108730275051453,265,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,AD
BrainSegVol-to-eTIV,0.008344047139972131,0.008344047139972131,0.008344047139972131,265,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,AD
MaskVol-to-eTIV,0.003927552207641342,0.003927552207641342,0.003927552207641342,265,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,AD
lhSurfaceHoles,0.051668089292585935,0.051668089292585935,0.051668089292585935,265,,surface_qc,surface_qc,,,fs8_subcortical_volume,,AD
rhSurfaceHoles,0.08540898532508218,0.08540898532508218,0.08540898532508218,265,,surface_qc,surface_qc,,,fs8_subcortical_volume,,AD
SurfaceHoles,0.07310153910246081,0.07310153910246081,0.07310153910246081,265,,surface_qc,surface_qc,,,fs8_subcortical_volume,,AD
EstimatedTotalIntraCranialVol,-0.006898094702842159,-0.006898094702842159,-0.006898094702842159,265,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,AD
SegmentedTotalIntracranialVol,-0.03222941714607094,-0.03222941714607094,-0.03222941714607094,265,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,AD
