claim_id,claim_family_id,claim_level,claim_type,dataset,cohort,feature_space,feature_family,pipeline,atlas,target,covariates,n_samples,n_features,roi,hemisphere,roi_group,anatomical_group,network,network_7_like,lobe,direction,evidence_metric,evidence_value,coefficient,t_value,p_value,q_value,claim_text,short_claim_text,criteria_passed,status
ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_MCI_e1d9dcf4d7_atomic_roi_LH_Default_PHC_1,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_MCI_e1d9dcf4d7,atomic_roi,diagnosis_contrast,ADNI_SPM_MATCHED,pooled,spm_thickness_schaefer200_7,thickness,spm_cat12,schaefer200_7network,diagnosis_binary_mci_cn,age; sex; education,2203,202,LH_Default_PHC_1,LH,Default,parahippocampal,Default,,temporal,lower,t,-9.388352494179948,-0.4017597338751161,-9.388352494179948,1.4697143395121108e-20,3.7110287072680797e-19,"MCI is associated with lower LH_Default_PHC_1 Schaefer 200 7-network cortical thickness compared with CN, after adjustment for age, sex, education.","MCI is associated with lower LH_Default_PHC_1 Schaefer 200 7-network cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_MCI_e1d9dcf4d7_atomic_roi_RH_BackgroundFreeSurfer_Defined_Medial_Wall,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_MCI_e1d9dcf4d7,atomic_roi,diagnosis_contrast,ADNI_SPM_MATCHED,pooled,spm_thickness_schaefer200_7,thickness,spm_cat12,schaefer200_7network,diagnosis_binary_mci_cn,age; sex; education,2203,202,RH_Background+FreeSurfer_Defined_Medial_Wall,RH,,unknown_subregion,,,unknown,lower,t,-9.149251315592414,-0.36466506549527,-9.149251315592414,1.2706748617278917e-19,2.851959134100379e-18,"MCI is associated with lower RH_Background+FreeSurfer_Defined_Medial_Wall Schaefer 200 7-network cortical thickness compared with CN, after adjustment for age, sex, education.","MCI is associated with lower RH_Background+FreeSurfer_Defined_Medial_Wall Schaefer 200 7-network cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_MCI_e1d9dcf4d7_atomic_roi_RH_Limbic_TempPole_2,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_MCI_e1d9dcf4d7,atomic_roi,diagnosis_contrast,ADNI_SPM_MATCHED,pooled,spm_thickness_schaefer200_7,thickness,spm_cat12,schaefer200_7network,diagnosis_binary_mci_cn,age; sex; education,2203,202,RH_Limbic_TempPole_2,RH,Limbic,temporal_pole,Limbic,,temporal,lower,t,-8.289022423749252,-0.35547723652209195,-8.289022423749252,1.961926751230797e-16,3.9630920374862094e-15,"MCI is associated with lower RH_Limbic_TempPole_2 Schaefer 200 7-network cortical thickness compared with CN, after adjustment for age, sex, education.","MCI is associated with lower RH_Limbic_TempPole_2 Schaefer 200 7-network cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_MCI_e1d9dcf4d7_atomic_roi_LH_Default_Temp_3,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_MCI_e1d9dcf4d7,atomic_roi,diagnosis_contrast,ADNI_SPM_MATCHED,pooled,spm_thickness_schaefer200_7,thickness,spm_cat12,schaefer200_7network,diagnosis_binary_mci_cn,age; sex; education,2203,202,LH_Default_Temp_3,LH,Default,temporal,Default,,temporal,lower,t,-8.032234313606214,-0.3370213155725158,-8.032234313606214,1.5448373022434328e-15,2.8368830459379405e-14,"MCI is associated with lower LH_Default_Temp_3 Schaefer 200 7-network cortical thickness compared with CN, after adjustment for age, sex, education.","MCI is associated with lower LH_Default_Temp_3 Schaefer 200 7-network cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_MCI_e1d9dcf4d7_atomic_roi_RH_Default_Temp_1,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_MCI_e1d9dcf4d7,atomic_roi,diagnosis_contrast,ADNI_SPM_MATCHED,pooled,spm_thickness_schaefer200_7,thickness,spm_cat12,schaefer200_7network,diagnosis_binary_mci_cn,age; sex; education,2203,202,RH_Default_Temp_1,RH,Default,temporal,Default,,temporal,lower,t,-7.83040932286944,-0.32888653907677856,-7.83040932286944,7.501492095410938e-15,1.2627511693941746e-13,"MCI is associated with lower RH_Default_Temp_1 Schaefer 200 7-network cortical thickness compared with CN, after adjustment for age, sex, education.","MCI is associated with lower RH_Default_Temp_1 Schaefer 200 7-network cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_MCI_e1d9dcf4d7_atomic_roi_RH_Default_Temp_3,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_MCI_e1d9dcf4d7,atomic_roi,diagnosis_contrast,ADNI_SPM_MATCHED,pooled,spm_thickness_schaefer200_7,thickness,spm_cat12,schaefer200_7network,diagnosis_binary_mci_cn,age; sex; education,2203,202,RH_Default_Temp_3,RH,Default,temporal,Default,,temporal,lower,t,-7.794134459396446,-0.3188688726263931,-7.794134459396446,9.926537676581514e-15,1.5424312389765122e-13,"MCI is associated with lower RH_Default_Temp_3 Schaefer 200 7-network cortical thickness compared with CN, after adjustment for age, sex, education.","MCI is associated with lower RH_Default_Temp_3 Schaefer 200 7-network cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_MCI_e1d9dcf4d7_atomic_roi_LH_Default_Par_4,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_MCI_e1d9dcf4d7,atomic_roi,diagnosis_contrast,ADNI_SPM_MATCHED,pooled,spm_thickness_schaefer200_7,thickness,spm_cat12,schaefer200_7network,diagnosis_binary_mci_cn,age; sex; education,2203,202,LH_Default_Par_4,LH,Default,unknown_subregion,Default,,unknown,lower,t,-7.765770410476046,-0.33309963575182716,-7.765770410476046,1.2346904481145424e-14,1.7814819322795543e-13,"MCI is associated with lower LH_Default_Par_4 Schaefer 200 7-network cortical thickness compared with CN, after adjustment for age, sex, education.","MCI is associated with lower LH_Default_Par_4 Schaefer 200 7-network cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_MCI_e1d9dcf4d7_atomic_roi_LH_Limbic_TempPole_4,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_MCI_e1d9dcf4d7,atomic_roi,diagnosis_contrast,ADNI_SPM_MATCHED,pooled,spm_thickness_schaefer200_7,thickness,spm_cat12,schaefer200_7network,diagnosis_binary_mci_cn,age; sex; education,2203,202,LH_Limbic_TempPole_4,LH,Limbic,temporal_pole,Limbic,,temporal,lower,t,-7.598125343241986,-0.32316121453189084,-7.598125343241986,4.417417262564123e-14,5.948788580253019e-13,"MCI is associated with lower LH_Limbic_TempPole_4 Schaefer 200 7-network cortical thickness compared with CN, after adjustment for age, sex, education.","MCI is associated with lower LH_Limbic_TempPole_4 Schaefer 200 7-network cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_MCI_e1d9dcf4d7_atomic_roi_RH_Default_Temp_4,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_MCI_e1d9dcf4d7,atomic_roi,diagnosis_contrast,ADNI_SPM_MATCHED,pooled,spm_thickness_schaefer200_7,thickness,spm_cat12,schaefer200_7network,diagnosis_binary_mci_cn,age; sex; education,2203,202,RH_Default_Temp_4,RH,Default,temporal,Default,,temporal,lower,t,-7.465379866430545,-0.3194884016561647,-7.465379866430545,1.190328560164037e-13,1.5027898072070968e-12,"MCI is associated with lower RH_Default_Temp_4 Schaefer 200 7-network cortical thickness compared with CN, after adjustment for age, sex, education.","MCI is associated with lower RH_Default_Temp_4 Schaefer 200 7-network cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_MCI_e1d9dcf4d7_atomic_roi_LH_Default_PFC_7,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_MCI_e1d9dcf4d7,atomic_roi,diagnosis_contrast,ADNI_SPM_MATCHED,pooled,spm_thickness_schaefer200_7,thickness,spm_cat12,schaefer200_7network,diagnosis_binary_mci_cn,age; sex; education,2203,202,LH_Default_PFC_7,LH,Default,unknown_subregion,Default,,unknown,lower,t,-7.432529114077206,-0.3177023145356204,-7.432529114077206,1.5174984251863427e-13,1.80314518757436e-12,"MCI is associated with lower LH_Default_PFC_7 Schaefer 200 7-network cortical thickness compared with CN, after adjustment for age, sex, education.","MCI is associated with lower LH_Default_PFC_7 Schaefer 200 7-network cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_MCI_e1d9dcf4d7_atomic_roi_LH_Cont_PFCl_2,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_MCI_e1d9dcf4d7,atomic_roi,diagnosis_contrast,ADNI_SPM_MATCHED,pooled,spm_thickness_schaefer200_7,thickness,spm_cat12,schaefer200_7network,diagnosis_binary_mci_cn,age; sex; education,2203,202,LH_Cont_PFCl_2,LH,Cont,prefrontal,Cont,,frontal,lower,t,-7.394341319185343,-0.3134063700482404,-7.394341319185343,2.0099566056819806e-13,2.255617968598667e-12,"MCI is associated with lower LH_Cont_PFCl_2 Schaefer 200 7-network cortical thickness compared with CN, after adjustment for age, sex, education.","MCI is associated with lower LH_Cont_PFCl_2 Schaefer 200 7-network cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
