claim_family_id,setting_id,dataset,feature_space,claim_type,target,n_composite,n_atomic,n_group,n_ranking,n_direction,n_latent,n_normative,n_total_claims,n_samples,n_features,n_warnings
AIBL_BASELINE_FS8_THICKNESS_YALE696_AGE_975c7b51b6,AIBL_BASELINE_FS8_THICKNESS_YALE696_AGE,AIBL_baseline,fs8_thickness_yale696,age_association,age,1,32,3,1,1,0,0,38,1298,150,0
AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_LATENT_7f07b895a3,AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_LATENT,AIBL_baseline,fs8_thickness_schaefer200_7,latent_morphometry_axis,,0,0,0,0,0,7,0,7,1298,202,0
AIBL_BASELINE_FS8_THICKNESS_KONG200_17_LATENT_96a8273055,AIBL_BASELINE_FS8_THICKNESS_KONG200_17_LATENT,AIBL_baseline,fs8_thickness_kong200_17,latent_morphometry_axis,,0,0,0,0,0,7,0,7,1298,202,0
AIBL_BASELINE_FS8_THICKNESS_YALE696_LATENT_133b99d71f,AIBL_BASELINE_FS8_THICKNESS_YALE696_LATENT,AIBL_baseline,fs8_thickness_yale696,latent_morphometry_axis,,0,0,0,0,0,7,0,7,1298,150,0
AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_NORMATIVE_DX_097fd8077b,AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_NORMATIVE_DX,AIBL_baseline,fs8_thickness_schaefer200_7,normative_deviation,,0,0,0,0,0,0,0,0,1298,202,0
AIBL_BASELINE_FS8_THICKNESS_KONG200_17_NORMATIVE_DX_bd788f16c8,AIBL_BASELINE_FS8_THICKNESS_KONG200_17_NORMATIVE_DX,AIBL_baseline,fs8_thickness_kong200_17,normative_deviation,,0,0,0,0,0,0,0,0,1298,202,0
AIBL_BASELINE_FS8_THICKNESS_YALE696_NORMATIVE_DX_349e15e59d,AIBL_BASELINE_FS8_THICKNESS_YALE696_NORMATIVE_DX,AIBL_baseline,fs8_thickness_yale696,normative_deviation,,0,0,0,0,0,0,0,0,1298,150,0
OASIS1_BASELINE_FS8_THICKNESS_SCHAEFER200_7_CDR_IMPAIRMENT_a1c111ba44,OASIS1_BASELINE_FS8_THICKNESS_SCHAEFER200_7_CDR_IMPAIRMENT,OASIS1_baseline,fs8_thickness_schaefer200_7,cdr_impairment_contrast,diagnosis_binary_impairment_cdr,1,30,4,1,1,0,0,37,235,202,0
OASIS1_BASELINE_FS8_THICKNESS_KONG200_17_CDR_IMPAIRMENT_6ce47069fa,OASIS1_BASELINE_FS8_THICKNESS_KONG200_17_CDR_IMPAIRMENT,OASIS1_baseline,fs8_thickness_kong200_17,cdr_impairment_contrast,diagnosis_binary_impairment_cdr,1,30,2,1,1,0,0,35,235,202,0
OASIS1_BASELINE_FS8_THICKNESS_YALE696_CDR_IMPAIRMENT_97d525a534,OASIS1_BASELINE_FS8_THICKNESS_YALE696_CDR_IMPAIRMENT,OASIS1_baseline,fs8_thickness_yale696,cdr_impairment_contrast,diagnosis_binary_impairment_cdr,1,40,4,1,1,0,0,47,235,150,0
OASIS1_BASELINE_FS8_THICKNESS_SCHAEFER200_7_MMSE_13160e92a9,OASIS1_BASELINE_FS8_THICKNESS_SCHAEFER200_7_MMSE,OASIS1_baseline,fs8_thickness_schaefer200_7,mmse_association,mmse,1,30,4,1,1,0,0,37,235,202,0
OASIS1_BASELINE_FS8_THICKNESS_KONG200_17_MMSE_f3b5d0d703,OASIS1_BASELINE_FS8_THICKNESS_KONG200_17_MMSE,OASIS1_baseline,fs8_thickness_kong200_17,mmse_association,mmse,1,30,2,1,1,0,0,35,235,202,0
OASIS1_BASELINE_FS8_THICKNESS_YALE696_MMSE_4c3df78ece,OASIS1_BASELINE_FS8_THICKNESS_YALE696_MMSE,OASIS1_baseline,fs8_thickness_yale696,mmse_association,mmse,1,40,4,1,1,0,0,47,235,150,0
OASIS1_BASELINE_FS8_THICKNESS_SCHAEFER200_7_AGE_2e8e8ab737,OASIS1_BASELINE_FS8_THICKNESS_SCHAEFER200_7_AGE,OASIS1_baseline,fs8_thickness_schaefer200_7,age_association,age,1,30,2,1,1,0,0,35,235,202,0
OASIS1_BASELINE_FS8_THICKNESS_KONG200_17_AGE_5847b16687,OASIS1_BASELINE_FS8_THICKNESS_KONG200_17_AGE,OASIS1_baseline,fs8_thickness_kong200_17,age_association,age,1,30,0,1,1,0,0,33,235,202,0
OASIS1_BASELINE_FS8_THICKNESS_YALE696_AGE_40e6a65ba7,OASIS1_BASELINE_FS8_THICKNESS_YALE696_AGE,OASIS1_baseline,fs8_thickness_yale696,age_association,age,1,40,3,1,1,0,0,46,235,150,0
OASIS1_BASELINE_FS8_THICKNESS_SCHAEFER200_7_LATENT_750a689049,OASIS1_BASELINE_FS8_THICKNESS_SCHAEFER200_7_LATENT,OASIS1_baseline,fs8_thickness_schaefer200_7,latent_morphometry_axis,,0,0,0,0,0,5,0,5,235,202,0
OASIS1_BASELINE_FS8_THICKNESS_KONG200_17_LATENT_a49aa3884b,OASIS1_BASELINE_FS8_THICKNESS_KONG200_17_LATENT,OASIS1_baseline,fs8_thickness_kong200_17,latent_morphometry_axis,,0,0,0,0,0,5,0,5,235,202,0
OASIS1_BASELINE_FS8_THICKNESS_YALE696_LATENT_d19a644a82,OASIS1_BASELINE_FS8_THICKNESS_YALE696_LATENT,OASIS1_baseline,fs8_thickness_yale696,latent_morphometry_axis,,0,0,0,0,0,3,0,3,235,150,0
OASIS1_BASELINE_FS8_THICKNESS_SCHAEFER200_7_NORMATIVE_CDR_c8fa5cc9ca,OASIS1_BASELINE_FS8_THICKNESS_SCHAEFER200_7_NORMATIVE_CDR,OASIS1_baseline,fs8_thickness_schaefer200_7,normative_deviation,,0,0,0,0,0,0,0,0,235,202,0
OASIS1_BASELINE_FS8_THICKNESS_KONG200_17_NORMATIVE_CDR_f46a593947,OASIS1_BASELINE_FS8_THICKNESS_KONG200_17_NORMATIVE_CDR,OASIS1_baseline,fs8_thickness_kong200_17,normative_deviation,,0,0,0,0,0,0,0,0,235,202,0
OASIS1_BASELINE_FS8_THICKNESS_YALE696_NORMATIVE_CDR_7db42cac82,OASIS1_BASELINE_FS8_THICKNESS_YALE696_NORMATIVE_CDR,OASIS1_baseline,fs8_thickness_yale696,normative_deviation,,0,0,0,0,0,0,0,0,235,150,0
ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_AD_ddab764881,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_AD,ADNI_SPM_MATCHED,spm_thickness_schaefer200_7,diagnosis_contrast,diagnosis_binary_ad_cn,1,30,2,1,1,0,0,35,1554,202,0
ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_DX_CN_AD_60b272e3d3,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_DX_CN_AD,ADNI_SPM_MATCHED,spm_thickness_schaefer200_17,diagnosis_contrast,diagnosis_binary_ad_cn,1,30,3,1,1,0,0,36,1554,202,0
ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_MCI_e1d9dcf4d7,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_MCI,ADNI_SPM_MATCHED,spm_thickness_schaefer200_7,diagnosis_contrast,diagnosis_binary_mci_cn,1,30,2,1,1,0,0,35,2203,202,0
ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_DX_CN_MCI_4a40598347,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_DX_CN_MCI,ADNI_SPM_MATCHED,spm_thickness_schaefer200_17,diagnosis_contrast,diagnosis_binary_mci_cn,1,30,2,1,1,0,0,35,2203,202,0
ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_MMSE_ac6aba6146,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_MMSE,ADNI_SPM_MATCHED,spm_thickness_schaefer200_7,mmse_association,mmse,1,30,3,1,1,0,0,36,2892,202,0
ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_MMSE_ec64591917,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_MMSE,ADNI_SPM_MATCHED,spm_thickness_schaefer200_17,mmse_association,mmse,1,30,4,1,1,0,0,37,2892,202,0
ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_AGE_aa5f5a8be7,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_AGE,ADNI_SPM_MATCHED,spm_thickness_schaefer200_7,age_association,age,1,30,2,1,1,0,0,35,2892,202,0
ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_AGE_86d4662a2e,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_AGE,ADNI_SPM_MATCHED,spm_thickness_schaefer200_17,age_association,age,1,30,4,1,1,0,0,37,2892,202,0
ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_LATENT_4b36e6a42e,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_LATENT,ADNI_SPM_MATCHED,spm_thickness_schaefer200_7,latent_morphometry_axis,,0,0,0,0,0,7,0,7,2892,202,0
